billboard,billboard_year,billboard_month,peak_position,weeks_on_chart,artist,feat_artist,artist_uri,artist_popularity,artist_followers,song,track_uri,track_popularity,album_name,release_year,release_month,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,major_label,genre_pop,genre_screen,genre_hiphop,genre_punk,genre_blues,genre_country,genre_rnb,genre_rock,genre_latin,genre_dance,genre_indie,genre_elect,genre_gospel,genre_chill
0,0,0,0,0,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,Another One Rides the Bus,23tktWr4FmFoJ6xEGqj3u2,36,"""Weird Al"" Yankovic",2009,10,158160,0.827,0.218,9,-16.892,1,0.644,0.232,6.77E-06,0.039,0.59,131.588,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,Like a Surgeon,3XhyafaTVD6ViaRFIL4bNo,39,"The Essential ""Weird Al"" Yankovic",2009,10,210626,0.838,0.671,3,-8.328,0,0.0346,0.252,0,0.056,0.961,126.012,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,One More Minute,3NkjFB5wQ427qt4YCMnXfq,23,"The Essential ""Weird Al"" Yankovic",2009,10,243600,0.733,0.653,0,-8.694,1,0.0317,0.477,0,0.213,0.371,115.86,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,Smells Like Nirvana,5Q1qSEtljHQzUygQTt0Ykw,30,"The Essential ""Weird Al"" Yankovic",2009,10,224533,0.591,0.786,6,-7.664,1,0.0749,0.162,0.00178,0.28,0.729,120.762,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,UHF,7FVjEFl29Z24C65FamXXn8,19,"The Essential ""Weird Al"" Yankovic",2009,10,229320,0.676,0.896,9,-8.041,1,0.0452,0.219,0,0.454,0.932,128.334,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2014,8,39,2,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,Word Crimes,4JqQWAr47pGEoaMArpA7Z3,48,Mandatory Fun,2014,7,223120,0.897,0.43,7,-12.759,1,0.0551,0.0118,0,0.0473,0.964,121.987,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,Yoda,0dgoXwibX8inebNrM85muT,40,"The Essential ""Weird Al"" Yankovic",2009,10,236400,0.573,0.857,9,-8.738,1,0.0455,0.0387,0,0.323,0.788,160.309,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2022,2,87,1,$NOT,A$AP Rocky,5IbEL2xjRtKsunfmsahLuO,72,1097721,Doja,3zpGLSQ8QbbUnNjweWPLMD,68,Doja,2022,2,171453,0.753,0.777,11,-5.701,0,0.32,0.0725,0.000714,0.125,0.669,157.148,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,79,Stop Staring At the Shadows,2020,2,168489,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04E-05,0.14,0.111,113.983,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,[whispers Indistinctly],1S4MM1ukLm3ourrBJGHniC,56,Stop Staring At the Shadows,2020,2,164623,0.899,0.716,11,-6.592,0,0.347,0.182,0,0.191,0.656,140.038,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,2nd Hand,4yORBk6ZyYsJpnJchyZevc,0,KILL YOURSELF Part XII: The Dark Glacier Saga,2017,5,123480,0.935,0.429,1,-6.697,1,0.118,0.0308,0,0.102,0.0769,139.987,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,All Dogs Go to Heaven,1DoBPOlB884EHiftB46QGx,66,Stop Staring At the Shadows,2020,2,153652,0.884,0.903,6,-3.672,0,0.2,0.274,0.00037,0.302,0.839,75.022,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,Bizarro,3wYnfIWrBYOHx9MR3EcJzu,53,Stop Staring At the Shadows,2020,2,214360,0.863,0.711,5,-5.527,1,0.138,0.342,0.000552,0.387,0.262,140.06,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,Fuck Your Culture,5LYjGMfcITu0nse2enQFPL,62,Stop Staring At the Shadows,2020,2,102060,0.755,0.763,1,-1.015,1,0.243,0.0175,0,0.689,0.621,80.015,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,Fuckthepopulation,0XfsT6rbC7myipngFhWa9T,63,My Liver Will Handle What My Heart Can't,2015,9,150186,0.818,0.575,0,-7.588,0,0.163,0.29,0,0.105,0.285,96.192,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,I Wanna Be Romanticized,2kwGrUme2JTUvF5Zf91Ocj,57,Stop Staring At the Shadows,2020,2,133746,0.69,0.39,6,-8.96,0,0.127,0.0686,0,0.0501,0.135,79.003,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,Kill Yourself (Part III),0kEZlJh4mK1QRfb3CT5LPk,77,My Liver Will Handle What My Heart Can't,2015,9,145078,0.753,0.68,5,-7.092,0,0.0349,0.326,4.15E-05,0.423,0.192,105.977,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,King Tulip,6cpslq4nypOt9NhLPIwY6c,59,I Want to Die In New Orleans,2018,9,185217,0.584,0.576,10,-9.435,0,0.449,0.14,0,0.111,0.261,120.765,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,LTE,0kCfKToIFZFQQAaSQHcjRL,0,YUNGDEATHLILLIFE,2015,5,133746,0.781,0.493,1,-7.649,1,0.0522,0.0717,0.586,0.123,0.0383,106.011,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,Magazine,3bNCifwGPjqeeqzpjrFG9k,0,Radical $uicide,2016,7,131500,0.881,0.903,8,-0.955,1,0.0813,0.267,0.00253,0.109,0.272,119.994,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
