billboard,billboard_year,billboard_date,peak_position,weeks_on_chart,artist,feat_artist,artist_uri,artist_popularity,artist_followers,artist_genre,song,track_uri,track_popularity,album_name,release_date,release_year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,-,-,-,-,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",Another One Rides the Bus,23tktWr4FmFoJ6xEGqj3u2,36,"""Weird Al"" Yankovic",10/27/2009,2009,158160,0.827,0.218,9,-16.892,1,0.644,0.232,6.77E-06,0.039,0.59,131.588,4
0,-,-,-,-,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",Like a Surgeon,3XhyafaTVD6ViaRFIL4bNo,39,"The Essential ""Weird Al"" Yankovic",10/27/2009,2009,210626,0.838,0.671,3,-8.328,0,0.0346,0.252,0,0.056,0.961,126.012,4
0,-,-,-,-,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",One More Minute,3NkjFB5wQ427qt4YCMnXfq,23,"The Essential ""Weird Al"" Yankovic",10/27/2009,2009,243600,0.733,0.653,0,-8.694,1,0.0317,0.477,0,0.213,0.371,115.86,3
0,-,-,-,-,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",Smells Like Nirvana,5Q1qSEtljHQzUygQTt0Ykw,30,"The Essential ""Weird Al"" Yankovic",10/27/2009,2009,224533,0.591,0.786,6,-7.664,1,0.0749,0.162,0.00178,0.28,0.729,120.762,4
0,-,-,-,-,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",UHF,7FVjEFl29Z24C65FamXXn8,19,"The Essential ""Weird Al"" Yankovic",10/27/2009,2009,229320,0.676,0.896,9,-8.041,1,0.0452,0.219,0,0.454,0.932,128.334,4
1,2014,8/2/2014,39,2,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",Word Crimes,4JqQWAr47pGEoaMArpA7Z3,48,Mandatory Fun,7/15/2014,2014,223120,0.897,0.43,7,-12.759,1,0.0551,0.0118,0,0.0473,0.964,121.987,4
0,-,-,-,-,"""Weird Al"" Yankovic",-,1bDWGdIC2hardyt55nlQgG,56,647861,"comedy rock, comic, parody",Yoda,0dgoXwibX8inebNrM85muT,40,"The Essential ""Weird Al"" Yankovic",10/27/2009,2009,236400,0.573,0.857,9,-8.738,1,0.0455,0.0387,0,0.323,0.788,160.309,4
1,2022,2/19/2022,87,1,$NOT,A$AP Rocky,5IbEL2xjRtKsunfmsahLuO,72,1097721,"aesthetic rap, florida rap, rap, underground hip hop",Doja,3zpGLSQ8QbbUnNjweWPLMD,68,Doja,2/4/2022,2022,171453,0.753,0.777,11,-5.701,0,0.32,0.0725,0.000714,0.125,0.669,157.148,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop","...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,79,Stop Staring At the Shadows,2/14/2020,2020,168489,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04E-05,0.14,0.111,113.983,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",[whispers Indistinctly],1S4MM1ukLm3ourrBJGHniC,56,Stop Staring At the Shadows,2/14/2020,2020,164623,0.899,0.716,11,-6.592,0,0.347,0.182,0,0.191,0.656,140.038,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",2nd Hand,4yORBk6ZyYsJpnJchyZevc,0,KILL YOURSELF Part XII: The Dark Glacier Saga,5/23/2017,2017,123480,0.935,0.429,1,-6.697,1,0.118,0.0308,0,0.102,0.0769,139.987,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",All Dogs Go to Heaven,1DoBPOlB884EHiftB46QGx,66,Stop Staring At the Shadows,2/14/2020,2020,153652,0.884,0.903,6,-3.672,0,0.2,0.274,0.00037,0.302,0.839,75.022,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",Bizarro,3wYnfIWrBYOHx9MR3EcJzu,53,Stop Staring At the Shadows,2/14/2020,2020,214360,0.863,0.711,5,-5.527,1,0.138,0.342,0.000552,0.387,0.262,140.06,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",Fuck Your Culture,5LYjGMfcITu0nse2enQFPL,62,Stop Staring At the Shadows,2/14/2020,2020,102060,0.755,0.763,1,-1.015,1,0.243,0.0175,0,0.689,0.621,80.015,4
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",Fuckthepopulation,0XfsT6rbC7myipngFhWa9T,63,My Liver Will Handle What My Heart Can't,9/21/2015,2015,150186,0.818,0.575,0,-7.588,0,0.163,0.29,0,0.105,0.285,96.192,3
0,-,-,-,-,$uicideBoy$,-,1VPmR4DJC1PlOtd0IADAO0,81,4517860,"dark trap, new orleans rap, underground hip hop",I Wanna Be Romanticized,2kwGrUme2JTUvF5Zf91Ocj,57,Stop Staring At the Shadows,2/14/2020,2020,133746,0.69,0.39,6,-8.96,0,0.127,0.0686,0,0.0501,0.135,79.003,4
