year,release_date,track,artists,id
2008,2008-11-17,Chicken Fried,['Zac Brown Band'],3eBnEo9WL34ulBCZlLpUQO
2008,2008-05-12,I'm Yours,['Jason Mraz'],1EzrEOXmMH3G43AXT1y7pA
2008,2008-09-23,Hayloft,['Mother Mother'],2kS6td1yvmpNgZTt1q5pQq
2008,2008-05-26,Viva La Vida,['Coldplay'],1mea3bSkSGXuIRvnydlB5b
2008,2008-06-17,"You're Gonna Go Far, Kid",['The Offspring'],6TfBA04WJ3X1d1wXhaCFVT
2008,2008-01-01,Gives You Hell,['The All-American Rejects'],6ihL9TjfRjadfEePzXXyVF
2008,2008-11-24,Heartless,['Kanye West'],4EWCNWgDS8707fNSZ1oaA5
2008,2008-03-17,Low (feat. T-Pain),"['Flo Rida', 'T-Pain']",0CAfXk7DXMnon4gLudAp7J
2008,2008-01-01,Kiss Me Thru The Phone,"['Soulja Boy', 'Sammie']",2q4rjDy9WhaN3o9MvDbO21
2008,2008-09-07,Whatever You Like,['T.I.'],1IAzD1muglOxOcPbUHs70R
2008,2008-10-03,Walking On A Dream,['Empire of the Sun'],5r5cp9IpziiIsR6b93vcnQ
2008,2008-03-28,American Boy,"['Estelle', 'Kanye West']",22UDw8rSfLbUsaAGTXQ4Z8
2008,2008-09-23,Arms Tonite,['Mother Mother'],1rRwwqteLePmi70PGaC8ah
2008,2008-11-11,Love Story,['Taylor Swift'],1vrd6UOGamcKNGnSHJQlSt
2008,2008-11-17,Toes,['Zac Brown Band'],2Esf7NTKQNCPE4G17QvVCs
2008,2008-09-23,Sex on Fire,['Kings of Leon'],0ntQJM78wzOLVeCUAW7Y45
2008,2008-05-20,Mary Jane's Last Dance,['Tom Petty and the Heartbreakers'],3dmqIB2Qxe2XZobw9gXxJ6
2008,2008-01-28,Make You Feel My Love,['Adele'],6P7tTFzn6oNa0GL8w8oazE
2008,2008-06-02,Disturbia,['Rihanna'],2VOomzT6VavJOGBeySqaMc
2008,2008-01-01,Poker Face,['Lady Gaga'],5R8dQOPq8haW94K7mgERlO
2008,2008-11-17,Halo,['Beyoncé'],4JehYebiI9JE8sR8MisGVb
2008,2008-01-01,In Color,['Jamey Johnson'],7CNd7rjfVt74TFlcOcnZgN
2008,2008-11-11,You Belong With Me,['Taylor Swift'],3GCL1PydwsLodcpv0Ll1ch
2008,2008-01-01,Just Dance,"['Lady Gaga', ""Colby O'Donis""]",2x7MyWybabEz6Y6wvHuwGE
2008,2008-02-19,Skinny Love,['Bon Iver'],2cbic3TiUENlJX91y67ARR
2008,2008-01-01,Savior,['Rise Against'],3asFGFY3uLjMDmML1p0tYm
2008,2008-07-07,DONTTRUSTME,['3OH!3'],5jzX4dWVQeBTtfBaXnMRt5
2008,2008-01-01,Put On,"['Jeezy', 'Kanye West']",5dANgSy7v091dhiPnEXNrf
2008,2008-10-24,So What,['P!nk'],0JiY190vktuhSGN6aqJdrt
2008,2008-01-01,Miss Independent,['Ne-Yo'],34ceTg8ChN5HjrqiIYCn9Q
2008,2008-06-02,Take A Bow,['Rihanna'],3goSVuTt3fDYDP6kRnFwuL
